Problem,TTS_sim_cycles,TTS_prediced_us,Solution,Power_mw,ETS_predicted_nJ,,,,,,,,,,,,,,,,,,,,
CO_formula_0,142,14.839,00000010000100110010010000011000100101100010000100000100010000100100010100101011010001100100101100110000000110000010000011100100000001101100010010000000100100000000101101011100000101000011001110110000,12,178.068,,,,,,,,,,,,,,,,,,,,
CO_formula_1,44,4.598,10001111000000110100010010000010001100010001010100000000110000010110010000100000010000111101000101000110010000100000000101010001000000000000110000000100000110011000001000000000011000011001100000000101,12,55.176,,,,,,,,,,,,,,,,,,,,
CO_formula_2,34,3.553,11000000001010000100000000000001000010001010000000000110000010000010011100000000010100011101101000011000000000001100000000011010001000010001110000100010111000110111000000000010010001001000000000101110,12,42.636,,,,,,,,,,,,,,,,,,,,
CO_formula_3,52,5.434,10100000110001010011001000100010100000001010000000000010000100101000111000000000101011000001010001011000010000011000101000000101011001001001010000000000000110010100110001000000000000100010000000001100,12,65.208,,,,,,,,,,,,,,,,,,,,
CO_formula_4,812,84.854,00110101001100000111010000001001001110100010001100101101000000000010000101101011010110000010000111111000001110000000100010100111100000010010101010011110110100111000110010110000000001100001110000000101,12,1018.248,,,,,,,,,,,,,,,,,,,,
CO_formula_5,214,22.363,10010000111000100000011101001110000000000010000010000100010001101100000111010010011000110000001000000010110110010000000010000011000001001000000101010100010000000010100000101000001000101010011100101100,12,268.356,,,,,,,,,,,,,,,,,,,,
CO_formula_6,39,4.0755,10110101010110010001000001100000010000101011000011001000001000100110010101101000000001000011100100000000100001110110000101010001000100110000101000000001000110010000010000100100010010100001010000101001,12,48.906,,,,,,,,,,,,,,,,,,,,
CO_formula_7,44,4.598,01010011010000000100010001001010010000001001110000000000000000001000000110010000101001001000100010011100000010000100110010010000001000000001010001011000000000000110000000101101010010000000010000100000,12,55.176,,,,,,,,,,,,,,,,,,,,
CO_formula_8,93,9.7185,11000100011001111001000001010000011100000000000110000101001001001100000100000100100111110100000001001000000000010111010000001110100000001000000100100000001101100001010100000000000100000011001110000110,12,116.622,,,,,,,,,,,,,,,,,,,,
CO_formula_9,36,3.762,01001000000111000000011000000100000100000000000000000000010001001000010011010001000100110101000001000000011010101110001001101000010001111100100110001101001000001100111101110010100010111000000000110110,12,45.144,,,,,,,,,,,,,,,,,,,,
CO_formula_10,39,4.0755,00000000000001100000000000000001000100010011000000010010000001000000000000000000110100010100000000001001000000000000000000001010000010000110110110000000000010010001100000101110101001011000010100111101,12,48.906,,,,,,,,,,,,,,,,,,,,
CO_formula_11,150,15.675,01011000010001110110000100010001000100000001100000000001100000000100011101001000001000011100100010110100001010010100001100000001000111010000010100000100100100010100110000000111000101001000000101010010,12,188.1,,,,,,,,,,,,,,,,,,,,
CO_formula_12,53,5.5385,00000100010000100110001101001011100100100000100100011110000000000110000011001111011011000000000010000001010000000000001010001110000000000010110000001001010000101001111000010000110011110000000010000110,12,66.462,,,,,,,,,,,,,,,,,,,,
CO_formula_13,123,12.8535,00100011100100100000000011010000110101000001100001101010010000000010001000000110000100111011001100000100000001010001000001100101000001100100000100001000011001000000100000010000001000000000000001011000,12,154.242,,,,,,,,,,,,,,,,,,,,
CO_formula_14,163,17.0335,11000011000011000010000010101010011000000000000110100110001000000001011110010010001000110000010000001000101110000010010000000000100100000000010000000010000010001100000000010000101010010100111100110000,12,204.402,,,,,,,,,,,,,,,,,,,,
CO_formula_15,118,12.331,00101010111010010010101011000110001101101010010000111000100010000000001000100011000101010010000011111000000001010010001100000010100000100010100000010100111100000101010000010001110010000000001100101010,12,147.972,,,,,,,,,,,,,,,,,,,,
CO_formula_16,100,10.45,00000001000011100000000100001010000010000001001010000000010000001100100000010110000100100001001101111000000010000000010010000000101001110110000000000110001000000001000011111101100001010101101100001101,12,125.4,,,,,,,,,,,,,,,,,,,,
