Problem,TTS_sim_cycles,TTS_prediced,Solution,Power_mw,ETS_predicted_nJ,,,,,,,,,,,,,,,,,,,,
0,687,71.7915,01110111110010001011110001100011011110011010000100110100110110010011100100010011001000011100010011011011101001100011011101011111001111000101000100100100101100000011100110100110110010010011001001110101,34,2440.911,,,,,,,,,,,,,,,,,,,,
1,2767,289.1515,10011111110001011000010101001111010101100010000101000110100110010010010111001110010101111110000011111100110100010001100100100000110001111110010010011010010110001000101011101111101001101000010000100111,34,9831.151,,,,,,,,,,,,,,,,,,,,
2,491,51.3095,11110011101101101100101111000101110010101100100000010100110011011011011000111001101001010010100000011100011000100000110000010111010011110110001001001111110000011000100101110010100110010110001000000101,34,1744.523,,,,,,,,,,,,,,,,,,,,
3,497,51.9365,11010010100000110010100111101101101011111010100101101110000000010110110010100110100110110000000110010001111011101001001000010110000110101001100101010111001100001100100110110101001100000011000100101001,34,1765.841,,,,,,,,,,,,,,,,,,,,
4,538,56.221,01010101010000010100001110001000000011001000000100000001110111111110000000101110101110100001110000100010001000000101000101011100011000011001100011111011111110001011100111010111101101000100000001010000,34,1911.514,,,,,,,,,,,,,,,,,,,,
5,11207,1171.1315,00001101100111100011110110001010101001101110100111110111000011101000001010010101000100100101011111000010100000101100100110101000110100110011000111101000001001101101010110100100110011101101101110110101,34,39818.471,,,,,,,,,,,,,,,,,,,,
6,81,8.4645,00111111000110000110110100001111000010000001110000011000100110011011000101111110111101011000010011000001110110001001011011011101100111110010000000011100110010011011101111100101000110000100101000001111,34,287.793,,,,,,,,,,,,,,,,,,,,
7,366,38.247,00100000110001111011000011110100101101111010010111001000010100010011011101101110110010010001111100001101010010010100001101000111000000111001011101001110001000001100100111001111101011101001110000001110,34,1300.398,,,,,,,,,,,,,,,,,,,,
8,209,21.8405,00100111000110110001110111100101010101010111100000010010111001010001001111100000011000101001110101110010101101100111010111000101111100111100110000000000100100011110101100010010001100000001101011100111,34,742.577,,,,,,,,,,,,,,,,,,,,
9,3889,406.4005,01011010000110010100111111000001011100000000110110011111001111010011101111101110110110011001000100010011101110000110001100010110100101010010110000010001010001000000001010110101110100000011010001100011,34,13817.617,,,,,,,,,,,,,,,,,,,,
10,163,17.0335,00100000011100110010111100010101100110111010010111110111110100010001011110110010111000111011100111001011001101001101101001001111000010000101011110101101011011011010111010011011001011001001011000110000,34,579.139,,,,,,,,,,,,,,,,,,,,
11,1259,131.5655,00110100100010101001100101111010010000100001101101001101111100001000000011111010100101010100001011101010111111100001110111101011001011000100111001011000100110111100010111101110101111110111011011000001,34,4473.227,,,,,,,,,,,,,,,,,,,,
12,88,9.196,00000100011011000101100011000101011100100100111011110110001010010011110010001110010111011101000000011100111000110010011010000001110011100100011001101000010001011111110001100101100001010100001110000100,34,312.664,,,,,,,,,,,,,,,,,,,,
13,3026,316.217,10011011011101101010011000000010101000111100010011101100000110110100100101010111111001011010111111100000010111001111011010011011101010011010110110001111100100010101101000111110000001000101001100101000,34,10751.378,,,,,,,,,,,,,,,,,,,,
14,2962,309.529,00001001001100100110100110010101101011110011001011000101010010011000110001000110101000011110010110111111010111000001001101100100010101011101101111110011111101001110100100100001110110100101001011000110,34,10523.986,,,,,,,,,,,,,,,,,,,,
15,131,13.6895,01011101111100011111001000111011111000010001011100111110001010010010110001100000101001110001110001100000110110001001001110001110010000011110010001100101111000001011010110001101010010000011111100000001,34,465.443,,,,,,,,,,,,,,,,,,,,
16,1829,191.1305,11000100100110110101000110111001100010101110010011110101101101000100001000010000100101111111101101100010111011100001111101001001111011000001010110110100010110001011011100110000110101010111111101111100,34,6498.437,,,,,,,,,,,,,,,,,,,,
17,1323,138.2535,11010001100101111010110001001001111010011010011100110111110010110000111100000011110010110010100111111011100001111100000110011011100111010001101101110111000011000110110101010111110001000001000010001111,34,4700.619,,,,,,,,,,,,,,,,,,,,
18,4813,502.9585,11100011101001101001101011110011010101000001010000110011111101111011010100111101001101001111001011010000111101001110101000111010100110100000010000010101100100100100100101100000101000011111111001101100,34,17100.589,,,,,,,,,,,,,,,,,,,,
19,3203,334.7135,00010000000101100101010111000101110001100110011011100110001111100001011010110010011010100001100101001000001000101001011111011010011010110100010010100011010000111101111110011100110000111011110101000111,34,11380.259,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
cycle_us,0.1045,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
