Problem,TTS_sim_cycles,TTS_prediced,Solution,Power_mw,ETS_predicted_nJ,,,,,,,,,,,,,,,,,,,,
formula_32,4533,473.6985,1010011010000000001010011000000000000000100000010100000000000010100100010100000000000010100101000000101000000101101000000101100100000000010111100000000000100000111110010000110011000000000000,32.2,15253.0917,,,,,,,,,,,,,,,,,,,,
formula_33,5353,559.3885,1011100111010111001011100101110000000000101101011011001110001010100000000100110100010011010000000000101000011000101000000011100100011111111100100000000001101000111101001000110011000000000000,32.2,18012.3097,,,,,,,,,,,,,,,,,,,,
formula_34,4907,512.7815,1001010101010010100000000100101000000000001010000100000001101000000101010100000000000000100101000000101000000101101000000100111100000000010111100000000001110010111110010000110011000000000000,32.2,16511.5643,,,,,,,,,,,,,,,,,,,,
formula_35,1604,167.618,1110011010000000001110011000000000000000101010010100000000000010100101010100000000000010100101000000101000000101101000000100111100000000010111100000000001110010111110010000110011000000000000,32.2,5397.2996,,,,,,,,,,,,,,,,,,,,
formula_36,8440,881.98,1100100110111001001100100000000011001001001010000000001001010000000010010101000101010000000101000000011000011000101000000100111110011111111100100000000000011111111101001010111011010010000000,32.2,28399.756,,,,,,,,,,,,,,,,,,,,
formula_37,94,9.823,1100111110011001100101000101010001010110000001001111111000000001011111100100,10,98.23,,,,,,,,,,,,,,,,,,,,
formula_38,6617,691.4765,1110001110011100011110001000000000000001001101010100000000000000100101011010000000000010100101000000000101000101101000000101010000101000010111100000000001000000111110010010111011000000000000,32.2,22265.5433,,,,,,,,,,,,,,,,,,,,
formula_39,6020,629.09,1101011010000000001101011000000000000000101010000000101000000010100101000000101000000010100101000000000101000101101000000101010000101000010111100000000001000000111110010010111011000000000000,32.2,20256.698,,,,,,,,,,,,,,,,,,,,
formula_40,43900,4587.55,1101010101011010100000000110101000000000101010011010000001101000000101000000001000000000100101000000000101000101101000000011010000101000010111100000000000101000111110010010111011000000000000,32.2,147719.11,,,,,,,,,,,,,,,,,,,,
formula_41,23420,2447.39,1111100111011111001111100111110000000001010011100111001110001010100010011010110100010011010000000000101101011000101000000101100100111111111100100000000000100000111101001010111011000000000000,32.2,78805.958,,,,,,,,,,,,,,,,,,,,
formula_42,7847,820.0115,1011011010000000001011011000000000000000100000010100101000000010100100010100101000000010100101000000101101000101101000000101100100101000010111100000000000100000111110010010111011000000000000,32.2,26404.3703,,,,,,,,,,,,,,,,,,,,
formula_43,10731,1121.3895,1001001110010010011001001000000000000000100000000100101000000000100100010100101000000010100101000000101101000101101000000011100100101000010111100000000001101000111110010010111011000000000000,32.2,36108.7419,,,,,,,,,,,,,,,,,,,,
formula_44,515,53.8175,1101010000011010000010101000000011010001010001001010000010100001000000100100,10,538.175,,,,,,,,,,,,,,,,,,,,
formula_45,5461,570.6745,1000100101110001000000000100010010001000001010000000001000000010100001010100101000000010100101000000101101000101101000000100111100101000010111100000000001110010111110010010111011000000000000,32.2,18375.7189,,,,,,,,,,,,,,,,,,,,
