Problem,TTS_sim_cycles,TTS_prediced_us,Solution,Power_mw,ETS_predicted_nJ,,,,,,,,,,,,,,,,,,,,
73.cnf,,8.47E+06,111000101100100010011010100011000100110011111111011011111001010001011001101001110011011101,34,1.69E+05,,,,,,,,,,,,,,,,,,,,
76.cnf,,1.85E+06,110110101001101100011111000100100111101101101101000110011001101101001101000100010111001001,34,3.70E+04,,,,,,,,,,,,,,,,,,,,
71.cnf,,2.32E+07,000101001010111110010001100011001000000011111110000000110010011001001100000010010100111100,34,4.63E+05,,,,,,,,,,,,,,,,,,,,
75.cnf,,1.46E+07,111010110000111100001100100101110101100100010101110010001010001100010110111010010111001110,34,2.91E+05,,,,,,,,,,,,,,,,,,,,
70.cnf,,9.12E+07,000100010000110111000110101011001011010010100011011010011001011000001010000110010011000000,34,1.82E+06,,,,,,,,,,,,,,,,,,,,
72.cnf,,1.28E+07,110100100100000011000100011010110001000101100001000010011100010111001000111001001011010111,34,2.56E+05,,,,,,,,,,,,,,,,,,,,
77.cnf,,2.29E+07,011101000010111000101000111011111000011110111001000010001101111101111011010000000011101000,34,4.58E+05,,,,,,,,,,,,,,,,,,,,
74.cnf,,1.32E+06,110110101000101011001000011011110010001111110100000010100100011111001110011110011001000100,34,2.64E+04,,,,,,,,,,,,,,,,,,,,
54.dimacs,,1.51E+07,10010101111101011110101000100111101111000000100100000101000001010111100101101011011111111000100111010100001001,34,3.01E+05,,,,,,,,,,,,,,,,,,,,
55.dimacs,,1.02E+08,01100100101010101110001110111111001100010011111011000001100110101111111001011010101010000110000010101010101001,34,2.04E+06,,,,,,,,,,,,,,,,,,,,
00.dimacs,,3.83E+07,00011011000101011011100101011110010000001011010011101110011001010011100011100011100111110000101011101011000101,34,7.67E+05,,,,,,,,,,,,,,,,,,,,
80.cnf,,1.84E+07,00100110101010101001000100000010100010011100001001111001011111010100010010000010000001100101011011001111100000001000100011111101101101000101,34,3.67E+05,,,,,,,,,,,,,,,,,,,,
81.cnf,,5.59E+07,11111100011101011001101101101011101011100011101011010100110000010110000001000010101100101110001011101010111100100110010100001100011001010011,34,1.12E+06,,,,,,,,,,,,,,,,,,,,
79.cnf,,1.56E+07,01001011011010010110111010000000000100111100111100001111101111110001011010111001001111100001011000000001000111101001111010100101001000111111,34,3.12E+05,,,,,,,,,,,,,,,,,,,,
78.cnf,,1.42E+07,01001111001101110110010000000011111101010011111110110011111100000011000000001011101001110110011011100110101101100101111011010000000101111101,34,2.85E+05,,,,,,,,,,,,,,,,,,,,
82.cnf,,5.42E+07,01111010010010000011010000010111100111010110111100000100011010010011110001110100010111111111010001001010100010101011000001001100111001100100,34,1.08E+06,,,,,,,,,,,,,,,,,,,,
88.cnf,,1.78E+08,000100010101100111101111111111110100111010001111011100101100111011111111101011101100111011010011111100010110011110101101011000100011001001010011010011001110001100001000111111110000111100010100011011000001000110,34,3.55E+06,,,,,,,,,,,,,,,,,,,,
87.cnf,,2.51E+07,101000000101111110001000000100000010111100100000011101000001000011000100010101011101110000101011000111011011101010010100011111010110100110100010000001010100110010111100111110101001101101001101111010000011000011,34,5.03E+05,,,,,,,,,,,,,,,,,,,,
85.cnf,,6.65E+07,111001101010100110100100110111000001110110011011010100111111100110001011110111011000010000101011011111001000001011011001000001111000001110011011110100101010010001100011111100111101101000011010101101001010110101,34,1.33E+06,,,,,,,,,,,,,,,,,,,,
86.cnf,,3.83E+07,100000100000010100000010101011111001010011111110110110100011010001110001001101000001100010100101010111111000000011000101100010101000010000101110000010111001111000010101101001101010101001101100010110101011010111,34,7.66E+05,,,,,,,,,,,,,,,,,,,,
84.cnf,,1.75E+08,100010100110000100011011001000101001011111111001011011010011011111000001101100000110000001011111110101110111000001000111110001001000101011111100000101000011000010100110110000110111010010001010101101100000100100,34,3.50E+06,,,,,,,,,,,,,,,,,,,,
83.cnf,,1.19E+08,100110011000010010000110101000111101010010011010000101110010100000110111111000110001000100001101011010000000100000001110111010101000101000010101110111111100100001001001110101101100001001010100110110001101001001,34,2.39E+06,,,,,,,,,,,,,,,,,,,,
56.dimacs,,3.65E+07,1110000111011101001111011101011111010000100100111101001001000100111110001001101110000111110100010000111100000101001110101011001101010010100001001010000110001110001011011110010010110111111010111101100111101000011010001110,34,7.31E+05,,,,,,,,,,,,,,,,,,,,
95.dimacs,,9.34E+08,1101111011000011001100100011101010100110110011100010011010010101100001111100010100000111110001110110101111010111110010111111110110011000010011000010110101000101010001111110111100111110000010111111101101111101101110000010,34,1.87E+07,,,,,,,,,,,,,,,,,,,,
99.dimacs,,5.26E+07,0100111010000001001000100110111000011000110110000101111001110111110111011011100000001101111010100100110110111001111011011011100110101110010010100011011110111011010110001111101110011001001010010001100101011110110110101110,34,1.05E+06,,,,,,,,,,,,,,,,,,,,
20.cnf,,1.05E+06,01011111101010001010010010100111100000001101100111,34,2.10E+04,,,,,,,,,,,,,,,,,,,,
06.cnf,,1.85E+07,11100001001110000011001011001101010001011011010111,34,3.70E+05,,,,,,,,,,,,,,,,,,,,
14.cnf,,1.74E+06,11110000000110101101100101011111010001101101001111,34,3.48E+04,,,,,,,,,,,,,,,,,,,,
12.cnf,,1.60E+07,00011101111100100101100111111110111001011100011000,34,3.19E+05,,,,,,,,,,,,,,,,,,,,
18.cnf,,2.32E+07,00100110110010100101001010001011001101011000100000,34,4.64E+05,,,,,,,,,,,,,,,,,,,,
10.cnf,,9.30E+05,11111001011011110111000110101100001001111010010001,34,1.86E+04,,,,,,,,,,,,,,,,,,,,
01.cnf,,6.51E+06,01111110100000011001101101000000110001101010101101,34,1.30E+05,,,,,,,,,,,,,,,,,,,,
08.cnf,,3.45E+06,01101110000100110001100101100101010001000100111101,34,6.90E+04,,,,,,,,,,,,,,,,,,,,
09.cnf,,1.32E+07,00011101101011011001000011100010010001001100100111,34,2.64E+05,,,,,,,,,,,,,,,,,,,,
03.cnf,,1.90E+07,00000010111110001111111010110101011011001100011011,34,3.79E+05,,,,,,,,,,,,,,,,,,,,
02.cnf,,4.68E+07,11101011000001111100010011000100000111111001000011,34,9.36E+05,,,,,,,,,,,,,,,,,,,,
21.cnf,,1.41E+07,01111010010100011100101101101001011101100010111000,34,2.82E+05,,,,,,,,,,,,,,,,,,,,
