Problem,TTS_sim_cycles,TTS_prediced_us,Solution,Power_mw,ETS_predicted_nJ,,,,,,,,,,,,,,,,,,,,
54.cnf,191,19.9595,10001000010001000110100100111101011100110011001000,9,179.6355,,,,,,,,,,,,,,,,,,,,
55.cnf,652,68.134,11101110000001011011111111110000010010111000111110,9,613.206,,,,,,,,,,,,,,,,,,,,
56.cnf,1147,119.8615,00110101001111001100000011011100011110111111110010,9,1078.7535,,,,,,,,,,,,,,,,,,,,
57.cnf,244,25.498,11010011010000001101111000000000000101001000000101,9,229.482,,,,,,,,,,,,,,,,,,,,
58.cnf,37,3.8665,01110101110001111111011100101000110001111011110100,9,34.7985,,,,,,,,,,,,,,,,,,,,
59.cnf,1590,166.155,00010011110000100011010100010111101001010111101111,9,1495.395,,,,,,,,,,,,,,,,,,,,
60.cnf,1905,199.0725,11101000101000001000110000010110111001100110010110,9,1791.6525,,,,,,,,,,,,,,,,,,,,
61.cnf,340,35.53,01001001100000000001001110100101100100010100000101,9,319.77,,,,,,,,,,,,,,,,,,,,
62.cnf,426,44.517,00001011000000000001110001101101010000000001111001,9,400.653,,,,,,,,,,,,,,,,,,,,
63.cnf,161,16.8245,11100111101111001010110100100011101000111100000110,9,151.4205,,,,,,,,,,,,,,,,,,,,
64.cnf,46,4.807,10001100000010010111100011110111000011100010111111,9,43.263,,,,,,,,,,,,,,,,,,,,
65.cnf,93,9.7185,10011010100011011011011001011100001001011000101100,9,87.4665,,,,,,,,,,,,,,,,,,,,
66.cnf,4353,454.8885,11100110101000011101101111101000001100100010110011,9,4093.9965,,,,,,,,,,,,,,,,,,,,
67.cnf,688,71.896,00001100011000100101100110001100110001011010010110,9,647.064,,,,,,,,,,,,,,,,,,,,
68.cnf,330,34.485,10000100000111111101011011001110011110100100010111,9,310.365,,,,,,,,,,,,,,,,,,,,
69.cnf,928,96.976,01111101011111001011001101000110000011001101101011,9,872.784,,,,,,,,,,,,,,,,,,,,
70.cnf,1678,175.351,11000011000000010000111010110000010111000111110101,9,1578.159,,,,,,,,,,,,,,,,,,,,
71.cnf,324,33.858,00010010001010100100111100000001001101110011001001,9,304.722,,,,,,,,,,,,,,,,,,,,
72.cnf,476,49.742,11101000010011000011001100100000001010101101001001,9,447.678,,,,,,,,,,,,,,,,,,,,
73.cnf,270,28.215,11111100100001110101111010100100100100100010001111,9,253.935,,,,,,,,,,,,,,,,,,,,
74.cnf,18857,1970.5565,00010100001100110110000111001100010011100110111011,9,17735.0085,,,,,,,,,,,,,,,,,,,,
75.cnf,159,16.6155,01011110011001000101111111100011101111110001001110,9,149.5395,,,,,,,,,,,,,,,,,,,,
76.cnf,269,28.1105,11011010001001001000000000000100100000100111110101,9,252.9945,,,,,,,,,,,,,,,,,,,,
77.cnf,87,9.0915,11101110001000010110000101111010111111011011001011,9,81.8235,,,,,,,,,,,,,,,,,,,,
78.cnf,285,29.7825,01101110110001111000011111011011100000110101100111,9,268.0425,,,,,,,,,,,,,,,,,,,,
79.cnf,465,48.5925,01100101101010000101011001001010100000001100001011,9,437.3325,,,,,,,,,,,,,,,,,,,,
80.cnf,1130,118.085,01101000111101101001011111001001100010101100100100,9,1062.765,,,,,,,,,,,,,,,,,,,,
81.cnf,23770,2483.965,11110000011100001101100110111011001011000001001011,9,22355.685,,,,,,,,,,,,,,,,,,,,
82.cnf,33,3.4485,11110110101100110111010011100110101010111110110001,9,31.0365,,,,,,,,,,,,,,,,,,,,
83.cnf,62,6.479,00000000110011011001001100110010011101100100001001,9,58.311,,,,,,,,,,,,,,,,,,,,
84.cnf,1509,157.6905,10100111011110000001110101100111101111000010001010,9,1419.2145,,,,,,,,,,,,,,,,,,,,
85.cnf,64,6.688,11010110111111001100011010100101010110111110110001,9,60.192,,,,,,,,,,,,,,,,,,,,
86.cnf,2610,272.745,00111101100100010111001100111000101100111101111011,9,2454.705,,,,,,,,,,,,,,,,,,,,
87.cnf,141,14.7345,11110010101100000101011100110000101001101010110111,9,132.6105,,,,,,,,,,,,,,,,,,,,
88.cnf,1648,172.216,10001001100111110001011111101011101011101111100010,9,1549.944,,,,,,,,,,,,,,,,,,,,
89.cnf,319,33.3355,10110110110010001100101011001010001101110110011001,9,300.0195,,,,,,,,,,,,,,,,,,,,
90.cnf,93,9.7185,01100001010010100011110010110100100010010111100000,9,87.4665,,,,,,,,,,,,,,,,,,,,
91.cnf,1707,178.3815,00000100011000111001100101010000000111011001100110,9,1605.4335,,,,,,,,,,,,,,,,,,,,
92.cnf,187,19.5415,01000000011010100001010110100001111111111010000011,9,175.8735,,,,,,,,,,,,,,,,,,,,
93.cnf,1178,123.101,10101010100110101100000111011010010000111100000000,9,1107.909,,,,,,,,,,,,,,,,,,,,
94.cnf,191,19.9595,11001101111001100100001101110101000010101110001011,9,179.6355,,,,,,,,,,,,,,,,,,,,
95.cnf,414,43.263,00110101011010010110101100000101010010010010000111,9,389.367,,,,,,,,,,,,,,,,,,,,
96.cnf,28,2.926,00011010011011001111111001000010110001100000111110,9,26.334,,,,,,,,,,,,,,,,,,,,
97.cnf,685,71.5825,01010101111111011111100111010101011101010111101100,9,644.2425,,,,,,,,,,,,,,,,,,,,
98.cnf,756,79.002,00101100110001111111110111111100100101110010111101,9,711.018,,,,,,,,,,,,,,,,,,,,
99.cnf,158,16.511,10101111101001111000010110001111100010111011101000,9,148.599,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
cycle_us,0.1045,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
