Problem,TTS_sim_cycles,TTS_prediced_us,Solution,Power_mw,ETS_predicted_nJ,,,,,,,,,,,,,,,,,,,,
C3_formula_50.cnf,93,9.7185,10001111011110001000101101110101100101011001001100,8,77.748,,,,,,,,,,,,,,,,,,,,
C3_formula_51.cnf,33,3.4485,00111001011000110111000101011100001101000101111101,8,27.588,,,,,,,,,,,,,,,,,,,,
C3_formula_52.cnf,352,36.784,10110110100000110111101110010000110111110011111100,8,294.272,,,,,,,,,,,,,,,,,,,,
C3_formula_53.cnf,435,45.4575,01100111111110111011000001000100110110101011101111,8,363.66,,,,,,,,,,,,,,,,,,,,
C3_formula_54.cnf,178,18.601,11111111011011001011000000101110000000110100001111,8,148.808,,,,,,,,,,,,,,,,,,,,
C3_formula_55.cnf,222,23.199,01100011101001100111110100011000011011101001111001,8,185.592,,,,,,,,,,,,,,,,,,,,
C3_formula_56.cnf,12,1.254,11100101000011110001100110000101000011110011110111,8,10.032,,,,,,,,,,,,,,,,,,,,
C3_formula_57.cnf,46,4.807,01010101101001010010101000000001011001110010000000,8,38.456,,,,,,,,,,,,,,,,,,,,
C3_formula_58.cnf,77,8.0465,11010010001001101100111000100111010001001001111011,8,64.372,,,,,,,,,,,,,,,,,,,,
C3_formula_59.cnf,887,92.6915,11001010100000101110111110100110100010001100000100,8,741.532,,,,,,,,,,,,,,,,,,,,
C3_formula_60.cnf,51,5.3295,11001110001100111100000110110100000111001110110010,8,42.636,,,,,,,,,,,,,,,,,,,,
C3_formula_61.cnf,160,16.72,01010110010100010101101101101101011010100011111000,8,133.76,,,,,,,,,,,,,,,,,,,,
C3_formula_62.cnf,3409,356.2405,11100111001011000111101100101010110000101100000100,8,2849.924,,,,,,,,,,,,,,,,,,,,
C3_formula_63.cnf,50,5.225,00001110110111111010101100110010111111010101010100,8,41.8,,,,,,,,,,,,,,,,,,,,
C3_formula_64.cnf,3009,314.4405,01010110011111101101011001000011001011111011000110,8,2515.524,,,,,,,,,,,,,,,,,,,,
C3_formula_65.cnf,591,61.7595,00011001000110010111110100001000100010001111010001,8,494.076,,,,,,,,,,,,,,,,,,,,
C3_formula_66.cnf,239,24.9755,11001011101000100111001110100111111101111100100110,8,199.804,,,,,,,,,,,,,,,,,,,,
C3_formula_67.cnf,756,79.002,10010100011100000101100101101110011001000111110011,8,632.016,,,,,,,,,,,,,,,,,,,,
C3_formula_68.cnf,270,28.215,01010110010000001001111111001101110111000001010100,8,225.72,,,,,,,,,,,,,,,,,,,,
C3_formula_69.cnf,266,27.797,00100011101001111111010001000011111011010011011101,8,222.376,,,,,,,,,,,,,,,,,,,,
C3_formula_70.cnf,382,39.919,10011110001110110111010101011011001011100000111011,8,319.352,,,,,,,,,,,,,,,,,,,,
C3_formula_71.cnf,718,75.031,11110101001010101000101110010111101000100010110110,8,600.248,,,,,,,,,,,,,,,,,,,,
C3_formula_72.cnf,15,1.5675,01001000010101011001111001001101001010101010100001,8,12.54,,,,,,,,,,,,,,,,,,,,
C3_formula_73.cnf,138,14.421,11111110100001001010101000110010110001000001111010,8,115.368,,,,,,,,,,,,,,,,,,,,
C3_formula_74.cnf,104,10.868,10100010011101000011101101011010011110101001010011,8,86.944,,,,,,,,,,,,,,,,,,,,
C3_formula_75.cnf,4017,419.7765,10111111001011110100000110011101110110001110110010,8,3358.212,,,,,,,,,,,,,,,,,,,,
C3_formula_76.cnf,182,19.019,11111101011100001010101001101011000000110110110100,8,152.152,,,,,,,,,,,,,,,,,,,,
C3_formula_77.cnf,490,51.205,11001110111111100110001111011111110000101101011111,8,409.64,,,,,,,,,,,,,,,,,,,,
C3_formula_78.cnf,497,51.9365,11000101110010110001010111001111010101100010101111,8,415.492,,,,,,,,,,,,,,,,,,,,
C3_formula_79.cnf,32,3.344,01101000010111110001110011101000111001110100101100,8,26.752,,,,,,,,,,,,,,,,,,,,
C3_formula_80.cnf,74,7.733,01111101001101110111011110010101011110001100110100,8,61.864,,,,,,,,,,,,,,,,,,,,
C3_formula_81.cnf,351,36.6795,11100010110101110000100001111001111000101010011001,8,293.436,,,,,,,,,,,,,,,,,,,,
C3_formula_82.cnf,575,60.0875,00110101100100110110010011110101100101100010101100,8,480.7,,,,,,,,,,,,,,,,,,,,
C3_formula_83.cnf,159,16.6155,10011000110001000010101110111001100110111111111000,8,132.924,,,,,,,,,,,,,,,,,,,,
C3_formula_84.cnf,75,7.8375,00010001011100101111000000111100110011111000011001,8,62.7,,,,,,,,,,,,,,,,,,,,
C3_formula_85.cnf,1862,194.579,01000001100111110000111001001011000000001010100001,8,1556.632,,,,,,,,,,,,,,,,,,,,
C3_formula_86.cnf,171,17.8695,00110100101011010100011000010011111010100101110111,8,142.956,,,,,,,,,,,,,,,,,,,,
C3_formula_87.cnf,438,45.771,01111011101101100110111010000010000111000100001001,8,366.168,,,,,,,,,,,,,,,,,,,,
C3_formula_88.cnf,427,44.6215,10110110111111101000000000000011000101111110100001,8,356.972,,,,,,,,,,,,,,,,,,,,
C3_formula_89.cnf,795,83.0775,11011110111010110000100100101001100010011011011100,8,664.62,,,,,,,,,,,,,,,,,,,,
C3_formula_90.cnf,47,4.9115,01010100111100110101100110011100100101110110001000,8,39.292,,,,,,,,,,,,,,,,,,,,
C3_formula_91.cnf,190,19.855,10110001110110111100010001010000100011010101100001,8,158.84,,,,,,,,,,,,,,,,,,,,
C3_formula_92.cnf,501,52.3545,00011110000001001111101110000010111011101110100010,8,418.836,,,,,,,,,,,,,,,,,,,,
C3_formula_93.cnf,79,8.2555,10011010101010100101110110100010001001111000001011,8,66.044,,,,,,,,,,,,,,,,,,,,
C3_formula_94.cnf,365,38.1425,11100110111110111101111110101111011100001011000100,8,305.14,,,,,,,,,,,,,,,,,,,,
C3_formula_95.cnf,890,93.005,10001101111100111111110001010000110111010101100101,8,744.04,,,,,,,,,,,,,,,,,,,,
C3_formula_96.cnf,526,54.967,00000101010100000111111111111101011101010010110111,8,439.736,,,,,,,,,,,,,,,,,,,,
C3_formula_97.cnf,45,4.7025,10111110000111100100000010101001010001101100011011,8,37.62,,,,,,,,,,,,,,,,,,,,
C3_formula_98.cnf,496,51.832,01100000010100000011000100000010100011110100000111,8,414.656,,,,,,,,,,,,,,,,,,,,
C3_formula_99.cnf,203,21.2135,01000101000100101010000101000000101100011010001100,8,169.708,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
cycle_us,0.1045,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
