Problem,TTS_sim_cycles,TTS_prediced_us,Solution,Power_mw,ETS_predicted_nJ,,,,,,,,,,,,,,,,,,,,
CO_formula_0,110,11.495,00000000010000110001010000111011011110000000111010,8,91.96,,,,,,,,,,,,,,,,,,,,
CO_formula_1,9,0.9405,01110110001100001111011011010110110100111110101100,8,7.524,,,,,,,,,,,,,,,,,,,,
CO_formula_2,49,5.1205,11101100110110101010101100111010000101101001111010,8,40.964,,,,,,,,,,,,,,,,,,,,
CO_formula_3,24,2.508,11111111100011101001111000010101011010000001101001,8,20.064,,,,,,,,,,,,,,,,,,,,
CO_formula_4,47,4.9115,11101111000110010110010011111101001001111011100000,8,39.292,,,,,,,,,,,,,,,,,,,,
CO_formula_5,46,4.807,10001111000000110101001101100100001001101101010010,8,38.456,,,,,,,,,,,,,,,,,,,,
CO_formula_6,249,26.0205,11110001001000001100111111011010011000101011101111,8,208.164,,,,,,,,,,,,,,,,,,,,
CO_formula_7,48,5.016,00001100111110101100110110000000000001011010111001,8,40.128,,,,,,,,,,,,,,,,,,,,
CO_formula_8,27,2.8215,01011010100101101100100111010010101000100100010000,8,22.572,,,,,,,,,,,,,,,,,,,,
CO_formula_9,39,4.0755,00101001101101011001001101100011100011001001111000,8,32.604,,,,,,,,,,,,,,,,,,,,
CO_formula_10,53,5.5385,01101101000111010110110010000110011110000100010011,8,44.308,,,,,,,,,,,,,,,,,,,,
CO_formula_11,11,1.1495,10001101101100001010100010000000001110011001011010,8,9.196,,,,,,,,,,,,,,,,,,,,
CO_formula_12,35,3.6575,00000101001110001010010000001111011111000110011011,8,29.26,,,,,,,,,,,,,,,,,,,,
CO_formula_13,121,12.6445,10100010010000011100010110010000110000011101110010,8,101.156,,,,,,,,,,,,,,,,,,,,
CO_formula_14,76,7.942,00111101101010010000110101001000001100100111010000,8,63.536,,,,,,,,,,,,,,,,,,,,
CO_formula_15,62,6.479,01110010100110011011001011001000010100110110000001,8,51.832,,,,,,,,,,,,,,,,,,,,
CO_formula_16,33,3.4485,11010011101111001010001101000011101000011110101110,8,27.588,,,,,,,,,,,,,,,,,,,,
CO_formula_17,16,1.672,10010100010010000010111110011001100101011111010001,8,13.376,,,,,,,,,,,,,,,,,,,,
CO_formula_18,144,15.048,01011001000110100000100110110111111010010010111010,8,120.384,,,,,,,,,,,,,,,,,,,,
CO_formula_19,24,2.508,01000010101101101001000101010001110100010100100000,8,20.064,,,,,,,,,,,,,,,,,,,,
CO_formula_20,52,5.434,01001101101010100110000110110001110011001101011100,8,43.472,,,,,,,,,,,,,,,,,,,,
CO_formula_21,41,4.2845,01111101000000100100011100010001001000111110001100,8,34.276,,,,,,,,,,,,,,,,,,,,
CO_formula_22,106,11.077,01101111101000010010101001010001000111111100110100,8,88.616,,,,,,,,,,,,,,,,,,,,
CO_formula_23,152,15.884,01000001110010100110011100000110011011100001010110,8,127.072,,,,,,,,,,,,,,,,,,,,
CO_formula_24,7,0.7315,00100101110101111100100110010100001110010101101111,8,5.852,,,,,,,,,,,,,,,,,,,,
CO_formula_25,24,2.508,10011111100110001100011010111000010011010100010010,8,20.064,,,,,,,,,,,,,,,,,,,,
CO_formula_26,50,5.225,11100000111010010101000111111001101111111010110101,8,41.8,,,,,,,,,,,,,,,,,,,,
CO_formula_27,102,10.659,01111100001111110101111100101110111011011101101101,8,85.272,,,,,,,,,,,,,,,,,,,,
CO_formula_28,32,3.344,00100100000001110000100101000110011110001100011010,8,26.752,,,,,,,,,,,,,,,,,,,,
CO_formula_29,20,2.09,00001000001000010111110001101101001010000010110000,8,16.72,,,,,,,,,,,,,,,,,,,,
CO_formula_30,46,4.807,01111001101000111111011100000100111011110101010011,8,38.456,,,,,,,,,,,,,,,,,,,,
CO_formula_31,46,4.807,10111100000111000000100100111101101101101010011001,8,38.456,,,,,,,,,,,,,,,,,,,,
CO_formula_32,27,2.8215,11100110011110010000100101001111000101111101100010,8,22.572,,,,,,,,,,,,,,,,,,,,
CO_formula_33,41,4.2845,01110111100101110100110010010010000001010001100001,8,34.276,,,,,,,,,,,,,,,,,,,,
CO_formula_34,9,0.9405,10001100100011110110010110110101100011101101011000,8,7.524,,,,,,,,,,,,,,,,,,,,
CO_formula_35,45,4.7025,00010111001001011001010000011110101011111101100100,8,37.62,,,,,,,,,,,,,,,,,,,,
CO_formula_36,42,4.389,01110000101111110110000001111010110101011101101101,8,35.112,,,,,,,,,,,,,,,,,,,,
CO_formula_37,76,7.942,01111011100010110000001010001110010110010000111000,8,63.536,,,,,,,,,,,,,,,,,,,,
CO_formula_38,35,3.6575,01011000100100111010111111100000111001001011011100,8,29.26,,,,,,,,,,,,,,,,,,,,
CO_formula_39,32,3.344,01111000001010100101110101010010011101100000100101,8,26.752,,,,,,,,,,,,,,,,,,,,
CO_formula_40,72,7.524,11110001011101000111010001000101000110000101010000,8,60.192,,,,,,,,,,,,,,,,,,,,
CO_formula_41,25,2.6125,01000101001011000110011011101101100000110110000000,8,20.9,,,,,,,,,,,,,,,,,,,,
CO_formula_42,41,4.2845,11010110001101110100101100101000111000100100110100,8,34.276,,,,,,,,,,,,,,,,,,,,
CO_formula_43,897,93.7365,11010101001000011011010101010011010010111101101001,8,749.892,,,,,,,,,,,,,,,,,,,,
CO_formula_44,34,3.553,00011110100001001011000001011101000110001111100001,8,28.424,,,,,,,,,,,,,,,,,,,,
CO_formula_45,18,1.881,01001001100100011110110000001100101010111110001010,8,15.048,,,,,,,,,,,,,,,,,,,,
CO_formula_46,39,4.0755,01000111010100000100111101001011101110101010010101,8,32.604,,,,,,,,,,,,,,,,,,,,
CO_formula_47,575,60.0875,11110111010111001100001001000101011000111011010101,8,480.7,,,,,,,,,,,,,,,,,,,,
CO_formula_48,121,12.6445,00000100011011101011000011011000110000111001011001,8,101.156,,,,,,,,,,,,,,,,,,,,
CO_formula_49,93,9.7185,11111100001110111111100110110101100000010011110000,8,77.748,,,,,,,,,,,,,,,,,,,,
CO_formula_50,93,9.7185,10001111011110001000101101110101100101011001001100,8,77.748,,,,,,,,,,,,,,,,,,,,
CO_formula_51,33,3.4485,00111001011000110111000101011100001101000101111101,8,27.588,,,,,,,,,,,,,,,,,,,,
CO_formula_52,352,36.784,10110110100000110111101110010000110111110011111100,8,294.272,,,,,,,,,,,,,,,,,,,,
CO_formula_53,435,45.4575,01100111111110111011000001000100110110101011101111,8,363.66,,,,,,,,,,,,,,,,,,,,
CO_formula_54,178,18.601,11111111011011001011000000101110000000110100001111,8,148.808,,,,,,,,,,,,,,,,,,,,
CO_formula_55,222,23.199,01100011101001100111110100011000011011101001111001,8,185.592,,,,,,,,,,,,,,,,,,,,
CO_formula_56,12,1.254,11100101000011110001100110000101000011110011110111,8,10.032,,,,,,,,,,,,,,,,,,,,
CO_formula_57,46,4.807,01010101101001010010101000000001011001110010000000,8,38.456,,,,,,,,,,,,,,,,,,,,
CO_formula_58,77,8.0465,11010010001001101100111000100111010001001001111011,8,64.372,,,,,,,,,,,,,,,,,,,,
CO_formula_59,887,92.6915,11001010100000101110111110100110100010001100000100,8,741.532,,,,,,,,,,,,,,,,,,,,
CO_formula_60,51,5.3295,11001110001100111100000110110100000111001110110010,8,42.636,,,,,,,,,,,,,,,,,,,,
CO_formula_61,160,16.72,01010110010100010101101101101101011010100011111000,8,133.76,,,,,,,,,,,,,,,,,,,,
CO_formula_62,3409,356.2405,11100111001011000111101100101010110000101100000100,8,2849.924,,,,,,,,,,,,,,,,,,,,
CO_formula_63,50,5.225,00001110110111111010101100110010111111010101010100,8,41.8,,,,,,,,,,,,,,,,,,,,
CO_formula_64,3009,314.4405,01010110011111101101011001000011001011111011000110,8,2515.524,,,,,,,,,,,,,,,,,,,,
CO_formula_65,591,61.7595,00011001000110010111110100001000100010001111010001,8,494.076,,,,,,,,,,,,,,,,,,,,
CO_formula_66,239,24.9755,11001011101000100111001110100111111101111100100110,8,199.804,,,,,,,,,,,,,,,,,,,,
CO_formula_67,756,79.002,10010100011100000101100101101110011001000111110011,8,632.016,,,,,,,,,,,,,,,,,,,,
CO_formula_68,270,28.215,01010110010000001001111111001101110111000001010100,8,225.72,,,,,,,,,,,,,,,,,,,,
CO_formula_69,266,27.797,00100011101001111111010001000011111011010011011101,8,222.376,,,,,,,,,,,,,,,,,,,,
CO_formula_70,382,39.919,10011110001110110111010101011011001011100000111011,8,319.352,,,,,,,,,,,,,,,,,,,,
CO_formula_71,718,75.031,11110101001010101000101110010111101000100010110110,8,600.248,,,,,,,,,,,,,,,,,,,,
CO_formula_72,15,1.5675,01001000010101011001111001001101001010101010100001,8,12.54,,,,,,,,,,,,,,,,,,,,
CO_formula_73,138,14.421,11111110100001001010101000110010110001000001111010,8,115.368,,,,,,,,,,,,,,,,,,,,
CO_formula_74,104,10.868,10100010011101000011101101011010011110101001010011,8,86.944,,,,,,,,,,,,,,,,,,,,
CO_formula_75,4017,419.7765,10111111001011110100000110011101110110001110110010,8,3358.212,,,,,,,,,,,,,,,,,,,,
CO_formula_76,182,19.019,11111101011100001010101001101011000000110110110100,8,152.152,,,,,,,,,,,,,,,,,,,,
CO_formula_77,490,51.205,11001110111111100110001111011111110000101101011111,8,409.64,,,,,,,,,,,,,,,,,,,,
CO_formula_78,497,51.9365,11000101110010110001010111001111010101100010101111,8,415.492,,,,,,,,,,,,,,,,,,,,
CO_formula_79,32,3.344,01101000010111110001110011101000111001110100101100,8,26.752,,,,,,,,,,,,,,,,,,,,
CO_formula_80,74,7.733,01111101001101110111011110010101011110001100110100,8,61.864,,,,,,,,,,,,,,,,,,,,
