Problem,TTS_sim_cycles,TTS_prediced_us,Solution,Power_mw,ETS_predicted_nJ,,,,,,,,,,,,,,,,,,,,
000.cnf,,5.19E+09,11111001010101111001000001111110100101100011100101010111011111010100111010111000000111101000100111011000110100111110010000111100111000110100000010000110011101100110100100111111010011110000010001010110001100011111100011101011010000001000110101101101101000010010101010011111011100111100111010101100010111011110010111100100010110010100010010010000110110001010010111010011101010100011110100111001110010011011000000011010010011100000100110000100,34,1.04E+08,,,,,,,,,,,,,,,,,,,,
001.cnf,,3.50E+09,01101011100100011110101100100101110001011001001011101100110111001011111010111110011110000100101011101110011011100000000000100010101111010000010110010010011001000101100011100000000100110111100100010010010111100110111100001101110101110100111010111101010000010000011100110000101011101100111011101001111011000101100110101110100010100100001001011101010110000100100100111000010010101011100100111111100100111010101110011111000001001100101100010111,34,7.00E+07,,,,,,,,,,,,,,,,,,,,
002.cnf,,1.13E+09,01001101011111110000000101011111101011111000100111110000001110111101011010001001101011010001111010011111010011001111011000100100011111001010010010101011100001010000101001101010110000010100000001001110110011000001100010101010011000000100000100111010111100011000000101001011100001101010000111011000110010101111010001010010111101100010101000110001011010010000011100100101101101001000111111011101011010110001111111111010001011110010001011010001,34,2.26E+07,,,,,,,,,,,,,,,,,,,,
003.cnf,,4.91E+08,01100101111001000111011011111011001100010011111111111111110110001101101101101010001100001111111110001100110100010110110111000011011110110010101011100011001101000110101001000110010110110100111011111110101011001110110000000011101011100111100001011111110100011000011001010110000010000001000100111000101011011010111110101011100100001110001010100101001001111000000111001001101111011000001011001110111000000001000010111000101100000101001111100110,34,9.83E+06,,,,,,,,,,,,,,,,,,,,
004.cnf,,9.13E+07,00010111010110000001011010001111110101000001100101100001000101001101010110000110000101111101100110001010100110111010000011101101101101111111100101111110010101110011011110111111100110001011110110100101011010111111001111000011000001010011010000100101110110011010100101010001000111100111011111110110111110011010110010111110101110100011111110111101111001110110000001001111010001101001101010001000111001100011101011010101100001110100000101110000,34,1.83E+06,,,,,,,,,,,,,,,,,,,,
005.cnf,,2.30E+09,01010011010101000000110101100100100101111110101101110100011100100100000001011111010100000111010110110111100000111111011110011011110100010101010010001001100111100000111111111100110000111110100100111010101110010111000000110010001000110001110110101000110100011101001010010000011011010001001001110110110010110111001110000101110111001111001110110010111011001000100101100001110010111000110001101101110101111010000001111110101100010111111010010011,34,4.60E+07,,,,,,,,,,,,,,,,,,,,
006.cnf,,1.79E+09,11100100100100010011010000101000001110010000000000101101011100101111000000110100000010011100101011001010011010001100100100100111100011011110011110110100110111000111101100100100000100010011001100100101110010100011110001011101110111010101010010010110100011010000001111100111010100101101110100010000110101100000000001110111111011101010001100010000010001101001100011001001000011000000110011111101000010001101100111110111001111101101101101001100,34,3.59E+07,,,,,,,,,,,,,,,,,,,,
007.cnf,,6.68E+08,11011000011111001000111101101000000010001111100010101011011100011001001100001001111100000101010101101001110000000101001111110001011001010111011110100111111011101000000010001111011010100011101010000010101101100110010100010011110110100010110001000111101001101111111100000110010001010000011100110100101101100111101001010111001010101100111011000001100000101100011000111100001100000011011110000101110011100111011011111000010110110010011101001001,34,1.34E+07,,,,,,,,,,,,,,,,,,,,
008.cnf,,1.15E+08,00001111001111011000100111110010111010010111110110111100101001011101111001000001010100100011001111011100110010011000000010001011101001101011110000011000100011001100000011100000000111000101011000110010011110011110100101010010010000011111000000001101011110011100100010000000000100111110110010000011111010111011010101111101011010000110011001101000110111101010001000100100111101110100011000010110010111101100010000011010011101100010001010010000,34,2.31E+06,,,,,,,,,,,,,,,,,,,,
009.cnf,,2.46E+07,10000011110000011111001000010111010011010000000101111100110110011111011101101010001001100111111100001101100101111100111010011001011000100111010011101010011011000100101111101010000000001000010010000101001110110001000010111010111001000111101111011110000011111110010000100001111010101011011100011000010101000001011011000110011010110011011110000100110011000110100010101110010110010100000011100101000101010011011001110000000111100101110011001111,34,4.92E+05,,,,,,,,,,,,,,,,,,,,
010.cnf,,2.55E+09,11000100001110011001110010111010110001000010110100011000111010001001110101100000110101100010010111100100010000000100100110001110000100011000001100101000101101000110110101010111010101110001101001001000110010000000100110001100111010100011101010000001001000001000111110011110110111010010011110110001011011101001110001010011000111010101010100100100101011001100101110101000101001001101001010101111001110010011101011001110111100010010001010100011,34,5.10E+07,,,,,,,,,,,,,,,,,,,,
011.cnf,,1.38E+09,01111100011000110100011101011011011001000011101010000010111111001110110110010111111100010101110101011111110100001000101110011101110011101000001110100000000001110010110010101111010111011000010001001100001101110110100111001110101001000111001100101000000101010010101001100011100111011110011110011000110011000010000010100100100001100011101110000100100111000011100000001000000000111010111000000111111000010111000011000010011000000100010010111100,34,2.76E+07,,,,,,,,,,,,,,,,,,,,
012.cnf,,2.48E+08,10010011010010100011101000101101111000010111100110001010011000100110001111110010011010111111100010101100110001010101101010110101110011011101011000110000100110000110110110011000111101100011111111001001010100001000111111011011101101001010110000000010001010001001001001000101000111000111000111000011001100100011010000110110101001111101101100110000011001110111000110110001010000110000001101110000101001001110110110101001111010001111010010011101,34,4.97E+06,,,,,,,,,,,,,,,,,,,,
013.cnf,,2.56E+09,10011011101111001011111111100000000100011011001111000110010110110000010010010100101100010000010000110010111001110111010110011100111001110100101001010001110111010001110011001000000010000001100000100011111000111110001011011101100000100001111100001100110110000111100111000000111101100100111011111000111100111100101111010101010101111001000110100101011001000110001110001100000111000011100010010100001111000000101001111101000111101001111011000011,34,5.12E+07,,,,,,,,,,,,,,,,,,,,
014.cnf,,5.13E+07,11111000110111101110111110000101010010101110000100101111010110011111010010000101101001011110101101110001111001011110101010100001011110101100111111100101010010101011111110001011101000001111001100110011101100000011111010000101000000101001001011111001110010010100011111100110111001110010101011000000001100001000111011010010011101001010000101110001110011011010111111100000000010100010101100001010001010110111010011100100000110111100001010111111,34,1.03E+06,,,,,,,,,,,,,,,,,,,,
015.cnf,,6.27E+08,10110000110001111001010011110100110110001100100111000111100000100001111011110000001000111000000011111010010101100101010011110100110101001111110000110100011101000101000000111110110001111001100110000001110010110011001100011000010100010011001000001011100010011101100110001001010001111010001000000100111100000100111010010011111010111011101000110100111001000000101110011010101110000100101111011001011101001100000101100010101000111000001111101010,34,1.25E+07,,,,,,,,,,,,,,,,,,,,
016.cnf,,8.46E+08,00111100100000101000110110011000010110101111000101101011010110101011110100001011001011010011000001011000010110101011111010010011010111001001111000110111011011010100011010100010100001010001101010000000110110010011101101010111110100110110010101001011001010101101011100110010100001000000100000110001001011010001011010111110101010111001101101011001000100111110001011001100011010101001111100000010111000110011100110101000101110101010111110001110,34,1.69E+07,,,,,,,,,,,,,,,,,,,,
017.cnf,,3.70E+08,01001010011011101111110101111101001010011100001100110111111010110100010111000101000101010001011010100100100100001101011010001000111011001111001101110011111101010011111001111011001111000001001111111010001101000101111010010011100111101101111110001001001111101001011000100111000000010000011000011010000101001100101111100000010010000110110110010101110001001000010100111100110011101000011111110111000011111111011100101110110011010101101000010111,34,7.41E+06,,,,,,,,,,,,,,,,,,,,
018.cnf,,1.69E+08,10011011011111110111011100010110011010000010101010101101000010000010011000011001000111101000100011110111001100101010100110011000010010101111110110100100100110110101010110001010100010111100110110100010101101110010010110100011011001111011100011111000111110100000000111000110101111101000010101011011111000011011110001011111011001100100000110011101111101000100001010011010010101100110000100000110000000011010111101100010011001101111111011110011,34,3.38E+06,,,,,,,,,,,,,,,,,,,,
019.cnf,,4.90E+08,01010100100001001010001110100001011000101011101101100001011101001010001111110111001111010010101000001100110100001101010000110101111111010000000011000000000000110001111100101010101101001111101101000011101100010101101011111000110011001000001111000010100111110001000011010100001101001001101110000000010001001110111000100001110111111110011111101010110100011101101001011000101100100111011100011111011111001110100111111111111001111011010101011010,34,9.80E+06,,,,,,,,,,,,,,,,,,,,
020.cnf,,1.15E+09,10000101010100010111010001100011100011110100011101111011101011000111101111100101100000010110010000011101011111001010110111010111010001111110010010001010111111111011101100010001111000000000111101000011010101111100110000110001110010101011101101111000000010110110000000000000101010111110010110001001011110100001011001101001000111000100011010111000110110001000100100011001111111100011011101100010001111100000011100000001000011011100010001111111,34,2.30E+07,,,,,,,,,,,,,,,,,,,,
021.cnf,,0.00E+00,,34,0.00E+00,,,,,,,,,,,,,,,,,,,,
022.cnf,,7.26E+07,11010101110110010011010110010101101000101110011000000000011110000010001011100101111111111011101110000100001011100010001010101111111101011100101101000011001001111101100010101101110101101000111111011101111010000101110011100000100100110000001001000110110000101101110100111011000011101101100000011101010100010100101110100011000110011111010101001111001111110110000110000000111000111001001101101001011011001101100001000000111111101110110011010010,34,1.45E+06,,,,,,,,,,,,,,,,,,,,
023.cnf,,1.65E+09,00111011111010101100001101100001101100100100110000010011001001001001010111101110111101101010010001000001001101010111110010101001110010010000111000101001100010100101101110011011111100111111000111010010110001010100010001110100011000100010110110000000011101000010110001100110000110010100000001011011111000101011001111011000100110010110110100101111111101101110010000110000110011011010000110100101011111011100100001001011100100010111001110000011,34,3.31E+07,,,,,,,,,,,,,,,,,,,,
024.cnf,,2.33E+08,11001110111001111010011100101000001001000011101110111100111100101100100101011111101010100010001000000001010011111100111111111001000101010100100010001001001010101001010101111000000101011010000000100110100000110000001100101100010011011011111101010101000010101001110010001101111000110111111000001011011000010000000101101011010111101010111100111000010111011100100110101111011001011001010000101101111100011101101010101000111001001110010100010010,34,4.65E+06,,,,,,,,,,,,,,,,,,,,
025.cnf,,1.45E+10,11011000010001111100111110100100011001101001100101101010001011001000110100110011001111001101000000100000010000000100100100101010000001111000101010000110101010000110100100110000000111111100011101001001100010000111010011101011101110000111111000011011001111110111001101001110100101101111001011011000011100001010011100101101010111100111001011111100000111100110111111001101001111011010000101111001100111111111111001001100100111111111110010101100,34,2.91E+08,,,,,,,,,,,,,,,,,,,,
026.cnf,,6.49E+09,00000011100000011110101101110001110101101100001011011010000000011011000000100010101101000010111010001111010101110010010101001101001101000111010000010001110111101011100010010001011010010001110111101101100111110010000001011100010111111100111011100010000001100110100110110111100000001111111010010000101001010110000110101100010000000001111101000101011011100011111110100001100001001001101100001110001110001010100010110001111001111100100011000101,34,1.30E+08,,,,,,,,,,,,,,,,,,,,
027.cnf,,6.42E+09,00011100010000111010111010101100011100010001111001111010010101000000001110011001011001100100110001101111111101000111001001111111001110010111101000010100010101001011111100110100010001001100110010110001000100111001000011101101001000101011010101100110100101111001011101010100101001001111000010100111110110110001010001101110011110101111010011001001001100101010011001110011100010101000010011000011010110101100001101100010000010110111001101111111,34,1.28E+08,,,,,,,,,,,,,,,,,,,,
028.cnf,,1.97E+09,10110110000111000000001100001110100000100001110110100000001001000010011010010000010101011110011111000110010010011000010101000000101101100010111110101000001101001110111011010100111010001101000010011001001011111100001111111001101111011110011011110010000011101110000001010110010010000000101001001100111001011100011101111111000001110110011111100110110000010100111000001111010011101111010100100010010010010100011111001011111001100011100110010001,34,3.94E+07,,,,,,,,,,,,,,,,,,,,
