Problem,TTS_sim_cycles,TTS_prediced_us,Solution,Power_mw,ETS_predicted_nJ,,,,,,,,,,,,,,,,,,,,
CO_formula_51,95,9.9275,00001011001000010000100100110000101011010110100000,4,39.71,,,,,,,,,,,,,,,,,,,,
CO_formula_52,344,35.948,10011010111101110101000010010000001011000001011011,4,143.792,,,,,,,,,,,,,,,,,,,,
CO_formula_53,20,2.09,10000000100000000010000101000000001111010000000001,4,8.36,,,,,,,,,,,,,,,,,,,,
CO_formula_54,63,6.5835,01000011000000000001001010000001010100100110010100,4,26.334,,,,,,,,,,,,,,,,,,,,
CO_formula_55,129,13.4805,00011010001001110001011000000100000001010111100100,4,53.922,,,,,,,,,,,,,,,,,,,,
CO_formula_56,5,0.5225,10100100100000010010010000000000000001000000010010,4,2.09,,,,,,,,,,,,,,,,,,,,
CO_formula_57,125,13.0625,00000000110000000111010001101000101001001010100101,4,52.25,,,,,,,,,,,,,,,,,,,,
CO_formula_58,23,2.4035,00000000110100101001001001110010010001100000010011,4,9.614,,,,,,,,,,,,,,,,,,,,
CO_formula_59,50,5.225,10000100000000000000001110011010010011010001100000,4,20.9,,,,,,,,,,,,,,,,,,,,
CO_formula_60,240,25.08,11010001010010110011001010001000000001010000011100,4,100.32,,,,,,,,,,,,,,,,,,,,
CO_formula_61,104,10.868,01011100100000001010110000100001000010001101000101,4,43.472,,,,,,,,,,,,,,,,,,,,
CO_formula_62,174,18.183,10110010111101100100111111000000001011000011000001,4,72.732,,,,,,,,,,,,,,,,,,,,
CO_formula_63,13,1.3585,00110000011000001010000001101000000101000000000000,4,5.434,,,,,,,,,,,,,,,,,,,,
CO_formula_64,109,11.3905,10100001010100110000000000100110011000011000000010,4,45.562,,,,,,,,,,,,,,,,,,,,
CO_formula_65,43,4.4935,01011001010101010010000000000001000100101001100100,4,17.974,,,,,,,,,,,,,,,,,,,,
CO_formula_66,26,2.717,00010000000000000010010000001101111000001000000000,4,10.868,,,,,,,,,,,,,,,,,,,,
CO_formula_67,519,54.2355,10000101010101001100011011010011010100111000110110,4,216.942,,,,,,,,,,,,,,,,,,,,
CO_formula_68,42,4.389,00000010000010100000000000000000110000000101000011,4,17.556,,,,,,,,,,,,,,,,,,,,
CO_formula_69,17,1.7765,00000001001001000010000000000000010100000100000100,4,7.106,,,,,,,,,,,,,,,,,,,,
CO_formula_70,43,4.4935,01000011001001010110001001000000001000011100011001,4,17.974,,,,,,,,,,,,,,,,,,,,
CO_formula_71,123,12.8535,00010100001101010000010010000000000000001101101010,4,51.414,,,,,,,,,,,,,,,,,,,,
CO_formula_72,144,15.048,01010001011001110000001110110000010000010010000000,4,60.192,,,,,,,,,,,,,,,,,,,,
CO_formula_73,37,3.8665,00101101110001010010001000010001001000010000000010,4,15.466,,,,,,,,,,,,,,,,,,,,
CO_formula_74,243,25.3935,11000001100010000000010101111100111000101101101111,4,101.574,,,,,,,,,,,,,,,,,,,,
CO_formula_75,88,9.196,00000001000000000110101000100000011001001011000111,4,36.784,,,,,,,,,,,,,,,,,,,,
CO_formula_76,47,4.9115,11000000010000010111000000100000010011111101011000,4,19.646,,,,,,,,,,,,,,,,,,,,
CO_formula_77,85,8.8825,11010000110100001000000000000000100011100000010011,4,35.53,,,,,,,,,,,,,,,,,,,,
CO_formula_78,93,9.7185,00100111100001000000011000100000100010000000010100,4,38.874,,,,,,,,,,,,,,,,,,,,
CO_formula_79,207,21.6315,01110001001100000010100111101000101001001111000100,4,86.526,,,,,,,,,,,,,,,,,,,,
CO_formula_80,59,6.1655,00000110000011001000010110101011001000010011110001,4,24.662,,,,,,,,,,,,,,,,,,,,
