Problem,TTS_sim_cycles,TTS_prediced_us,Solution,Power_mw,ETS_predicted_nJ,,,,,,,,,,,,,,,,,,,,
C3_formula_32.cnf,5482,572.869,00000101001010100000011101101000000000000111110001,4,2291.476,,,,,,,,,,,,,,,,,,,,
C3_formula_33.cnf,81,8.4645,00100110101000000000001111100000000001000100011011,4,33.858,,,,,,,,,,,,,,,,,,,,
C3_formula_34.cnf,118,12.331,00111001100001010101111100000100011011000000000010,4,49.324,,,,,,,,,,,,,,,,,,,,
C3_formula_35.cnf,144,15.048,01001000001101101101000010001110011110000000001100,4,60.192,,,,,,,,,,,,,,,,,,,,
C3_formula_36.cnf,58,6.061,11100000101110000010000010000000000000100000100000,4,24.244,,,,,,,,,,,,,,,,,,,,
C3_formula_37.cnf,148,15.466,01100010001110101010000010001000101001001000100001,4,61.864,,,,,,,,,,,,,,,,,,,,
C3_formula_38.cnf,15,1.5675,10010100000010000010110000000101000001000010010000,4,6.27,,,,,,,,,,,,,,,,,,,,
C3_formula_39.cnf,201,21.0045,10101000000111100100000000001000100110001100010000,4,84.018,,,,,,,,,,,,,,,,,,,,
C3_formula_40.cnf,5,0.5225,01000000000001000100100000001001100000010001000000,4,2.09,,,,,,,,,,,,,,,,,,,,
C3_formula_41.cnf,67,7.0015,00111000010001000011110000100100011011100101000001,4,28.006,,,,,,,,,,,,,,,,,,,,
C3_formula_42.cnf,25,2.6125,00000100000010100010001100010000000000101011000000,4,10.45,,,,,,,,,,,,,,,,,,,,
C3_formula_43.cnf,109,11.3905,01110000110000010101110000000111100011101001000010,4,45.562,,,,,,,,,,,,,,,,,,,,
C3_formula_44.cnf,40,4.18,00101110111001000011101100000010000000010100101110,4,16.72,,,,,,,,,,,,,,,,,,,,
C3_formula_45.cnf,246,25.707,01100010111111100110001100010000100101100011100111,4,102.828,,,,,,,,,,,,,,,,,,,,
C3_formula_46.cnf,168,17.556,11010000100011010000000100001101011000000101011110,4,70.224,,,,,,,,,,,,,,,,,,,,
C3_formula_47.cnf,984,102.828,01101110001110001101101100001100001001101001001011,4,411.312,,,,,,,,,,,,,,,,,,,,
C3_formula_48.cnf,229,23.9305,10100001111011100110110100010000010101101010100010,4,95.722,,,,,,,,,,,,,,,,,,,,
C3_formula_49.cnf,332,34.694,00111100011010000001001100101000010000001001100001,4,138.776,,,,,,,,,,,,,,,,,,,,
C3_formula_50.cnf,974,101.783,10101101010000011100010010000010000011100010101010,4,407.132,,,,,,,,,,,,,,,,,,,,
C3_formula_51.cnf,95,9.9275,00001011001000010000100100110000101011010110100000,4,39.71,,,,,,,,,,,,,,,,,,,,
C3_formula_52.cnf,344,35.948,10011010111101110101000010010000001011000001011011,4,143.792,,,,,,,,,,,,,,,,,,,,
C3_formula_53.cnf,20,2.09,10000000100000000010000101000000001111010000000001,4,8.36,,,,,,,,,,,,,,,,,,,,
C3_formula_54.cnf,63,6.5835,01000011000000000001001010000001010100100110010100,4,26.334,,,,,,,,,,,,,,,,,,,,
C3_formula_55.cnf,129,13.4805,00011010001001110001011000000100000001010111100100,4,53.922,,,,,,,,,,,,,,,,,,,,
